OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
"2017-074D","CZ-6 R/B","43025","PRC","93.67","97.60","517","391","LARGE","0","2017-11-21",""
"2017-074C","JILIN-01-06","43024","PRC","95.37","97.53","543","529","MEDIUM","0","2017-11-21",""
"2017-074B","JILIN-01-05","43023","PRC","95.37","97.53","541","532","MEDIUM","0","2017-11-21",""
"2017-074A","JILIN-01-04","43022","PRC","95.37","97.53","541","532","MEDIUM","0","2017-11-21",""
"1998-067NJ","DELLINGR (RBLE)","43021","US","91.66","51.63","357","355","MEDIUM","0","1998-11-20",""
"1998-067NG","ECAMSAT","43019","US","91.93","51.64","372","366","SMALL","0","1998-11-20",""
"2017-073F","EAGLESAT 1","43018","US","97.32","97.72","809","452","SMALL","0","2017-11-18",""
"2017-073E","AO-91","43017","US","97.37","97.72","813","452","SMALL","0","2017-11-18",""
"2017-073D","MAKERSAT 0","43016","US","97.35","97.72","811","452","SMALL","0","2017-11-18",""
"2017-073C","MIRATA","43015","US","97.32","97.72","808","453","SMALL","0","2017-11-18",""
"2017-073B","BUCCANEER RMM","43014","AUS","97.35","97.72","807","457","SMALL","0","2017-11-18",""
"2017-073A","NOAA 20","43013","US","101.44","98.72","828","826","LARGE","0","2017-11-18",""
"2017-072C","CZ-4C R/B","43012","PRC","98.90","98.72","796","616","LARGE","0","2017-11-14",""
"2017-072B","HEAD-1","43011","PRC","100.94","98.76","811","796","MEDIUM","0","2017-11-14",""
"2017-072A","FENGYUN 3D","43010","PRC","101.43","98.75","828","825","LARGE","0","2017-11-14",""
"2017-070A","MOHAMMED VI-A","43005","MA","97.49","97.96","640","637","LARGE","0","2017-11-08",""
"2017-069D","CZ-3B R/B","43004","PRC","255.97","54.94","13778","174","LARGE","0","2017-11-05",""
"2017-069D","CZ-3B R/B","43004","PRC","256.16","54.93","13791","174","LARGE","0","2017-11-05",""
"2017-069C","YZ-1 R/B","43003","PRC","804.68","54.88","22389","22170","LARGE","0","2017-11-05",""
"2017-069B","BEIDOU-3 M2","43002","PRC","773.23","55.22","21559","21497","LARGE","0","2017-11-05",""
"2017-069A","BEIDOU-3 M1","43001","PRC","773.23","55.22","21562","21494","LARGE","0","2017-11-05",""
"1970-093D","OPS 5960 DEB","43000","US","1194.81","10.15","36286","25555","SMALL","0","1970-11-06",""
"1974-011C","METEOR 1-16 DEB","42999","CIS","101.64","81.23","864","809","SMALL","0","1974-03-05",""
"2017-068M","FLOCK 3M 2","42998","US","94.65","97.41","513","491","SMALL","0","2017-10-31",""
"2017-068L","FLOCK 3M 4","42997","US","94.65","97.42","514","490","SMALL","0","2017-10-31",""
"2017-068K","FLOCK 3M 3","42996","US","94.63","97.39","512","489","SMALL","0","2017-10-31",""
"2017-068J","FLOCK 3M 1","42995","US","94.64","97.40","513","489","SMALL","0","2017-10-31",""
"2017-068H","MINOTAUR-C R/B","42994","US","94.80","97.40","523","495","LARGE","0","2017-10-31",""
"2017-068H","MINOTAUR-C R/B","42994","US","94.80","97.41","523","495","LARGE","0","2017-10-31",""
"2017-068G","MINOTAUR-C DEB","42993","US","94.77","97.41","521","494","MEDIUM","0","2017-10-31",""
"2017-068F","SKYSAT C6","42992","US","93.62","97.24","452","451","MEDIUM","0","2017-10-31",""
"2017-068E","SKYSAT C7","42991","US","93.62","97.24","453","450","MEDIUM","0","2017-10-31",""
"2017-068D","SKYSAT C8","42990","US","93.61","97.24","454","449","MEDIUM","0","2017-10-31",""
"2017-068C","SKYSAT C9","42989","US","93.62","97.23","452","451","MEDIUM","0","2017-10-31",""
"2017-068B","SKYSAT C10","42988","US","93.62","97.24","455","448","MEDIUM","0","2017-10-31",""
"2017-068A","SKYSAT C11","42987","US","93.61","97.23","458","444","MEDIUM","0","2017-10-31",""
"2017-037E","COSMOS 2523","42986","CIS","96.86","97.76","662","554","MEDIUM","0","2017-06-23",""
"2017-067A","KOREASAT 5A","42984","SKOR","1436.10","0.02","35795","35778","LARGE","0","2017-10-30",""
"2017-067A","KOREASAT 5A","42984","SKOR","1436.09","0.02","35795","35779","LARGE","0","2017-10-30",""
"1998-067NF","SIMPL","42983","US","92.21","51.64","386","380","MEDIUM","0","1998-11-20",""
"1998-067NE","KESTREL EYE 2M","42982","US","91.70","51.63","360","356","MEDIUM","0","1998-11-20",""
"2010-041W","SL-12 DEB","42981","CIS","320.74","65.45","17819","467","SMALL","0","2010-09-02",""
"2010-041V","SL-12 DEB","42980","CIS","343.20","64.94","19138","581","SMALL","0","2010-09-02",""
"2010-041V","SL-12 DEB","42980","CIS","343.20","64.94","19138","582","SMALL","0","2010-09-02",""
"2010-041U","SL-12 DEB","42979","CIS","338.31","64.80","18961","449","SMALL","0","2010-09-02",""
"2010-041T","SL-12 DEB","42978","CIS","319.41","65.34","17741","460","SMALL","0","2010-09-02",""
"2010-041S","SL-12 DEB","42977","CIS","321.30","64.94","17970","352","SMALL","0","2010-09-02",""
"2010-041R","SL-12 DEB","42976","CIS","331.65","65.29","18515","471","SMALL","0","2010-09-02",""
"2010-041Q","SL-12 DEB","42975","CIS","327.75","65.47","18371","366","MEDIUM","0","2010-09-02",""
"2010-041P","SL-12 DEB","42974","CIS","336.03","64.82","18773","492","MEDIUM","0","2010-09-02",""
"2010-041N","SL-12 DEB","42973","CIS","340.27","64.88","18859","675","SMALL","0","2010-09-02",""
